"","Zeller_fecal_colorectal_cancer","Zeller_fecal_colorectal_cancer.1","Zeller_fecal_colorectal_cancer.2","Zeller_fecal_colorectal_cancer.3","Zeller_fecal_colorectal_cancer.4","Zeller_fecal_colorectal_cancer.5","Zeller_fecal_colorectal_cancer.6","Zeller_fecal_colorectal_cancer.7","Zeller_fecal_colorectal_cancer.8","Zeller_fecal_colorectal_cancer.9","Zeller_fecal_colorectal_cancer.10","Zeller_fecal_colorectal_cancer.11","Zeller_fecal_colorectal_cancer.12","Zeller_fecal_colorectal_cancer.13","Zeller_fecal_colorectal_cancer.14","Zeller_fecal_colorectal_cancer.15","Zeller_fecal_colorectal_cancer.16","Zeller_fecal_colorectal_cancer.17","Zeller_fecal_colorectal_cancer.18","Zeller_fecal_colorectal_cancer.19","Zeller_fecal_colorectal_cancer.20","Zeller_fecal_colorectal_cancer.21","Zeller_fecal_colorectal_cancer.22","Zeller_fecal_colorectal_cancer.23","Zeller_fecal_colorectal_cancer.24","Zeller_fecal_colorectal_cancer.25","Zeller_fecal_colorectal_cancer.26","Zeller_fecal_colorectal_cancer.27","Zeller_fecal_colorectal_cancer.28","Zeller_fecal_colorectal_cancer.29","Zeller_fecal_colorectal_cancer.30","Zeller_fecal_colorectal_cancer.31","Zeller_fecal_colorectal_cancer.32","Zeller_fecal_colorectal_cancer.33","Zeller_fecal_colorectal_cancer.34","Zeller_fecal_colorectal_cancer.35","Zeller_fecal_colorectal_cancer.36","Zeller_fecal_colorectal_cancer.37","Zeller_fecal_colorectal_cancer.38","Zeller_fecal_colorectal_cancer.39","Zeller_fecal_colorectal_cancer.40","Zeller_fecal_colorectal_cancer.41","Zeller_fecal_colorectal_cancer.42","Zeller_fecal_colorectal_cancer.43","Zeller_fecal_colorectal_cancer.44","Zeller_fecal_colorectal_cancer.45","Zeller_fecal_colorectal_cancer.46","Zeller_fecal_colorectal_cancer.47","Zeller_fecal_colorectal_cancer.48","Zeller_fecal_colorectal_cancer.49","Zeller_fecal_colorectal_cancer.50","Zeller_fecal_colorectal_cancer.51","Zeller_fecal_colorectal_cancer.52","Zeller_fecal_colorectal_cancer.53","Zeller_fecal_colorectal_cancer.54","Zeller_fecal_colorectal_cancer.55","Zeller_fecal_colorectal_cancer.56","Zeller_fecal_colorectal_cancer.57","Zeller_fecal_colorectal_cancer.58","Zeller_fecal_colorectal_cancer.59","Zeller_fecal_colorectal_cancer.60","Zeller_fecal_colorectal_cancer.61","Zeller_fecal_colorectal_cancer.62","Zeller_fecal_colorectal_cancer.63","Zeller_fecal_colorectal_cancer.64","Zeller_fecal_colorectal_cancer.65","Zeller_fecal_colorectal_cancer.66","Zeller_fecal_colorectal_cancer.67","Zeller_fecal_colorectal_cancer.68","Zeller_fecal_colorectal_cancer.69","Zeller_fecal_colorectal_cancer.70","Zeller_fecal_colorectal_cancer.71","Zeller_fecal_colorectal_cancer.72","Zeller_fecal_colorectal_cancer.73","Zeller_fecal_colorectal_cancer.74","Zeller_fecal_colorectal_cancer.75","Zeller_fecal_colorectal_cancer.76","Zeller_fecal_colorectal_cancer.77","Zeller_fecal_colorectal_cancer.78","Zeller_fecal_colorectal_cancer.79","Zeller_fecal_colorectal_cancer.80","Zeller_fecal_colorectal_cancer.81","Zeller_fecal_colorectal_cancer.82","Zeller_fecal_colorectal_cancer.83","Zeller_fecal_colorectal_cancer.84","Zeller_fecal_colorectal_cancer.85","Zeller_fecal_colorectal_cancer.86","Zeller_fecal_colorectal_cancer.87","Zeller_fecal_colorectal_cancer.88","Zeller_fecal_colorectal_cancer.89","Zeller_fecal_colorectal_cancer.90","Zeller_fecal_colorectal_cancer.91","Zeller_fecal_colorectal_cancer.92","Zeller_fecal_colorectal_cancer.93","Zeller_fecal_colorectal_cancer.94","Zeller_fecal_colorectal_cancer.95","Zeller_fecal_colorectal_cancer.96","Zeller_fecal_colorectal_cancer.97","Zeller_fecal_colorectal_cancer.98","Zeller_fecal_colorectal_cancer.99","Zeller_fecal_colorectal_cancer.100","Zeller_fecal_colorectal_cancer.101","Zeller_fecal_colorectal_cancer.102","Zeller_fecal_colorectal_cancer.103","Zeller_fecal_colorectal_cancer.104","Zeller_fecal_colorectal_cancer.105","Zeller_fecal_colorectal_cancer.106","Zeller_fecal_colorectal_cancer.107","Zeller_fecal_colorectal_cancer.108","Zeller_fecal_colorectal_cancer.109","Zeller_fecal_colorectal_cancer.110","Zeller_fecal_colorectal_cancer.111","Zeller_fecal_colorectal_cancer.112","Zeller_fecal_colorectal_cancer.113","Zeller_fecal_colorectal_cancer.114","Zeller_fecal_colorectal_cancer.115","Zeller_fecal_colorectal_cancer.116","Zeller_fecal_colorectal_cancer.117","Zeller_fecal_colorectal_cancer.118","Zeller_fecal_colorectal_cancer.119","Zeller_fecal_colorectal_cancer.120"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0.0183730981626902,0.00846019830796034,0.00546839671896197,0.00576199827140052,0.000582399941760006,0.0118731988126801,0.00926119907388009,0.000629300314650157,0.0188451037690208,0.0009511,0.00620699813790056,0.000725100362550181,0.000593800059380006,0.0443329088665818,0.0246067975393202,0.000223899910440036,0.00189980018998002,0.00930409627836149,0,0.000565600056560006,0.0108404956638017,0.0126764,0.00602120120424024,0.00489770048977005,0,0,0.000313499937300013,0.00762539618730191,0,3.19999904000029e-06,0.00678980067898007,0.0007581,0.00325029967497003,0.0234762,0.0023665,0.0025170994965801,0.00102209969337009,0.0152076015207602,0.000473499810600076,0.0236940023694002,0.00322410064482013,0.000204399938680018,0.00237729809816152,0.00728649708540117,0.00133750013375001,5.72000114400023e-05,0.000422400042240004,0.0388895077779016,0.0052164,0.0123770012377001,0.000317700031770003,0.035093,0.00139629972074006,0.0472496858250942,0.00669950133990027,0.0744409297763719,0.0881769,0.0202581959483608,0.0056315977473609,0.0149892970021406,0.000308900216230151,0.0142811028562206,0.0420799915840017,0.00686010137202027,0,0.00386429961357004,0.00050099989980002,0.000186199906900047,0.0326947065389413,0.0075435,0.0547250835824749,0.000226300135780081,0.00677080406248244,0.00388450077690016,0.00566360283180142,0.000200599959880008,0,0.000585800058580006,0.0183728944881317,0.00752170075217008,0.00162609983739002,0.00289150115660046,0.0155193984480602,0.00106549936070038,0,3.04000060800012e-05,0.00031979984010008,0.022107013264208,0.0644463871107226,0.00207940062382019,0.0023861,0.0024506,0,0.00657980526384421,0.00925860462930232,0.000268699973130003,0,0.00277499889000044,0.0207412062223619,0.000879299824140035,0.00105120021024004,1.94000038800008e-05,0.00523820104764021,0.0003755,0.0367868779278732,2.2499993250002e-05,0.116613823322765,0.000231199953760009,0.00161909935236026,0.0003776,0.000140200028040006,0.000971000291300087,0.00237549976245002,0.000326399902080029,0.0115070976985805,0.0074018,0.000137099890320088,0.000891399643440143,0.00428829828468069,5.94999643000214e-05,0.0024261
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius",0,0,0,0,0.0621197937880206,0,0,0,0,0.0002495,0,0,0,0.25016945003389,0,0.000699399720240112,0,0.00766969693212123,0.000130500026100005,0,0.0146574941370023,0,0.0129292025858405,0.00149580014958001,0.000816700081670008,0,0.00768339846332031,0.0115239942380029,0.000262399973760003,0,0,0.0039864,0,0,1.93e-05,0,0.0143625956912213,0,0,0.00448710044871004,0,0.000687099793870062,0,0,0,0.00702270140454028,0,0,0,0,0,0,0.00331519933696013,0.000171199948640015,0.0399518079903616,0,0,0,0.000432199827120069,0.0774570845085831,0.02038451426916,0,0,0.0326639065327813,0,0,7.04999859000028e-05,0,0,0,0,0.00978250586950352,0,0,0.00112990056495028,0.00160549967890006,0,0,0.122390563282831,0,0,0,0,0.0329116802529918,0.0006613,0.182903036580607,0,0,0.00125889974822005,0,0.0184192,0,0,0,0,9.27999907200009e-05,0.0022825,0,0,0,0,0,0,0.0027649,0,0.00354139893758032,0,0.00353209929358014,0,0,0,0.00451080135324041,0,0.00405919878224037,0,0.0682221,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salanitronis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268059892776043,0,0,0,0,0,0,0,0,0.00734520073452007,0,0,0,2.30999976900002e-05,0,0,0,0,0,0,0,0.000516099845170046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21999875600025e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000542299566160347,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae",0,0,0,0,0,0,0.0124197987580201,0.00547310273655137,0,0,0.00696579791026063,0,0,0.0048792009758402,0,0,0.0106837010683701,0.0290595883761646,0,0,0,4.58e-05,0,0.000526500052650005,0,0,0.00605989878802024,0,0,0,0,0,0.00174909982509002,0,5e-04,0,0,0,0.037328885068446,0,0.00331090066218013,0.00524819842554047,0,0,0,0,0,0,0,0.000505000050500005,0.000686400068640007,0,0,0,0,0,0,0.00709569858086028,0,0,0,0,0,0,0,0,0,0,0,0.0093872,0,0,0,0,0.00132150066075033,1.99999960000008e-06,0,0.00422210042221004,0.00311679906496028,0,0,0,0,0,0,0,0.0111318944340528,0,0,0,0.0003139,0.0001559,0,0,0,0,0,0,0,0.000438999912200018,0,0.00398090079618016,0,0,0,0,0.0230503046100609,0,3.0999987600005e-05,0,0,0.0133998040199412,0,0,0,0.0036814,8.32999333600533e-05,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244269902292039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6",0,0,0,0,0,0,0,0,0,0,0,0,0.00215320021532002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221465177172142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088776,0,0,0,0,0.0316852936629413,0,0,0,0,0,0.00780059921994008,0,0.000723,0,0,0,0,0,0,0,0,0,0,0,0.0174082017408202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272119054423811,0,0.0697926790621963,0,0,0,0,0,0,0,0,0,0,0,0.0150887984911202,0,0,0,0,0,0,0,0,0,0,0.00405050324040259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025093894981221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111025022205004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",0,0,0,0,0.0138124986187501,0,0,0.00264760132380066,0.162483332496666,0.0125698,0,0.000189200094600047,9.22000092200009e-05,0.0223099044619809,0,2.09999916000034e-06,0.0246858024685803,0.12677744928902,4.80000096000019e-06,0.0104642010464201,0,0.0003883,4.15000083000017e-05,0.00835450083545008,0,0,0.105037078992584,0,0,0,0,3.23e-05,0.00152629984737002,0,5.05e-05,0.00522839895432021,0.00372099888370033,7.04000070400007e-05,0.00018929992428003,0.000823300082330008,0.0165527033105407,0,0,0.000699799720080112,0,0.000386200077240015,0.0536073053607305,2.20000044000009e-05,2.3e-06,0.0148390014839001,0.00104270010427001,0,0,0.00055959983212005,0.00869700173940035,0,0,0.0362937927412414,0.000103799958480017,0.000171199965760007,3.63000254100178e-05,0,0,6.20000124000025e-06,0,0,0,0.000227699886150057,0.0139846027969206,0.019423,3.66999889900033e-05,0.000126100075660045,0.000535700321420193,0.0707105141421028,0,0.000177299964540007,0.025213694957261,0.00624090062409006,0,0.0530474053047405,0,0.00396630158652063,0,0.00393689763786142,0.0047078,0,0,0.0234604140762484,0.000215399956920009,0.0264584079375224,0.0083507,0.0097723,0,6.21000496800398e-05,0,0.00150889984911001,0.0042164,0,0,1.09999978000004e-06,7.90000158000032e-06,2.72000054400011e-05,0,0.0055581,0,0,0,1.86999962600007e-05,0,0.0201785,7.16000143200029e-05,0.0302605090781527,0,0.00289639913108026,0.00177219964556007,0.0002143,0.00056229955016036,0.012721594911362,0.0963979614408154,0.0424733745159753,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0.000913499908650009,0.00442809911438018,0.00312379812572112,0.0119162964251111,0.00283789971621003,0.00641549935845006,0.0299322970067703,0.00689580344790172,0.00321040064208013,0.0016363,0.00735879779236066,0.00227270113635057,0.000660400066040007,0,0.0247018975298103,0.00140209943916022,0,0.018546292581483,0,0.0567563056756306,0.0129651948139221,3e-04,0.0025713005142601,0.000673600067360007,0.00589890058989006,0,3.76999924600015e-05,0.00303049848475076,0.000197299980270002,0.0499965850010245,0.00517750051775005,0.0014121,0,0,0.0007978,0.000712599857480029,0.000403399878980036,0.00129280012928001,0.00333119866752053,0.00137420013742001,0.00783470156694031,0.00870899738730078,0.000885599291520567,0.00244749902100039,0,0.00303660060732012,0.0115763011576301,0,0,0.000533600053360005,0.000343400034340003,0.213748,0.000550899889820022,0.0238169928549021,0.000528700105740021,0,0,0.00726589854682029,0.0206567917372833,0.0147508970498206,0.00137240096068067,0.0154383030876606,5.34999893000021e-05,0.0342517068503414,0,0.00541229945877005,0.00112569977486005,0.00816009591995204,0.00139400027880006,0.0013504,0.00627539811738057,0.000473600284160171,0.00841480504888303,0.0135764027152805,0.00316570158285079,0.000135799972840005,0.00417809916438017,0.00234730023473002,0.00531049840685048,0.00307410030741003,0.000159799984020002,0.000601200240480096,0.00863909913609009,0,0,0.00553480110696022,0,0,0.118246076350785,0.000104100031230009,0.0053625,0.0033524,0.0865243826951235,0.00569180455344364,0.0072093036046518,0.000780199921980008,0.0050369,0.00282239887104045,0,4.19999916000017e-06,0.0165119033023807,0.000299200059840012,0.00382180076436015,0.0010435,0.00152019908788055,0.00203229939031018,0.0556478111295622,0.00543669891266022,0.000236999905200038,0.0252273,0,0.00319780095934029,0.0383648961635104,0.00033699989890003,0.00377129924574015,0.0045916,0,0,0.0131211947515221,0.038917076649754,0.0006509
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0.0199324980067502,0.0217522956495409,0.00158439904936057,0.118319364504191,0.0391553960844604,0.0182855981714402,0.0223249977675002,0.00274950137475069,0.0290125058025012,0.0223019,0.0214031935790419,0.0936584468292234,0.0293340029334003,0.00440370088074018,0.0145729985427001,0.00628239748704101,0.0533942053394205,0.0198881920447232,5.87000117400024e-05,0.00360790036079004,0.056555877377649,0.008162,0.0410750082150016,0.0165927016592702,0.0108545010854501,0.00354599929080014,0.00730779853844029,0.0324619837690081,1.42999985700001e-05,0.238107528567741,0.0405863040586304,0.0049359,0.0638845936115406,0.0041421,0.0074144,0.0205456958908608,0.00713679785896064,0.0350601035060103,0.0265177893928842,0.000473400047340005,0.0154031030806206,0.00162949951115015,0.0128037897569682,0.00142049943180023,0.0280530028053003,0.00402280080456016,0.0143544014354401,0.0926326185265237,0.0466287,0.0128431012843101,0.00566470056647006,0.0001386,0.00666559866688027,0.0140530957840713,0.0150628030125606,0.00220940088376035,0.1462741,0.103663279267344,0.0145917941632823,0.0105653978869204,0.0034797024357917,0.0414865082973017,0.0218518956296209,0.0268477053695411,1.85999962800007e-05,0.0251931974806802,0.0127246974550605,0.000342399828800086,0.00663450132690027,0.002701,0.0148059955582013,0.00596050357630215,0.0173711104226663,0.0179285035857007,0.00401830200915101,0.000397999920400016,0.024079595184081,0.00598420059842006,0.0394444881666536,0.00713060071306007,0.0116095988390401,0.00598780239512096,0.149195285080471,0.0176598894040664,0.0023798,0.000697000139400028,0.138334230832885,0.0124795074877045,0.000405099918980016,0.00299790089937027,0.0078764,0.0037584,3.38999932200013e-05,0.00946960757568606,0.0388605194302597,0.00438519956148004,0.0001249,0.167709332916267,0.0456538136961441,0.00612029877594024,0.00026040005208001,0.049723909944782,0.0281233056246611,0.002509,0.11139193316484,0.00164949950515015,0.115050723010145,0.0641354871729026,0.0043570982571607,0.056469,0.00193090038618008,0.00736550220965066,0.0385594961440504,0.0805558758332373,0.0408803918239216,0.0215583,0.00217909825672139,0.00154329938268025,0.00695859721656111,0.0220346867791879,0.0708786
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",0.0286601971339803,0.0325462934907413,0.0102456938525837,0.0752061774381468,0.0115475988452401,0,0.0752093924790607,0.0634745317372659,0.0353279070655814,0.0086298,0.0191850942444717,0.00433160216580108,0.0121094012109401,0.000576400115280023,0.0185271981472802,0.0432761826895269,0.0746194074619407,3.29999868000053e-06,0.000125100025020005,0.00429010042901004,0.0253492898602841,0.0276252,0.00955350191070038,0.00575530057553006,3.83000038300004e-05,0.0139494972101006,0.0189778962044208,0.0157253921373039,0.000632899936710006,0.000911399726580082,0.00156660015666002,0.0038913,0.0127740987225901,0.0536048,0.0049965,0.00705209858958028,0.0153064954080514,0.00799050079905008,0.00670829731668107,0.000739400073940008,0.0182638036527607,0.00338779898366031,0.000946999242400606,0.00908479636608145,0.0765774076577408,0.0136028027205605,0.0603393060339306,0.00912170182434036,0.1064152,0.0218752021875202,0.00497880049788005,0.0499243,0.00865149826970035,0.0788970763308771,0.0337524067504813,0.0759974303989722,0.2176002,0.025358994928201,0.0278763888494445,0.0342611931477614,0.00261120182784128,0.0525087105017421,0.0351654929669014,0.0817571163514233,0,0.0218596978140302,0.0165444966911007,0.091999254000373,0.0308408061681612,0.0047405,0.0189285943214217,0.00329660197796119,0.00430000258000155,0.0485666097133219,0.00162380081190041,0.000180699963860007,0.0780844843831031,0.0125831012583101,0.0126827961951611,0.188711718871172,0.0212032978796702,0.0496667198666879,0.00170789982921002,0.00156819905908056,0.0097342,0.0312749062549812,0.0355352822323589,0.0126542075925246,0.000205099958980008,0.0292095087628526,0.011338,0.0080129,0.0279886944022611,0.0115230092184074,0.0313870156935078,0.00292459970754003,0.1005572,0.0601283759486496,0.0284139085241726,0,0.0216664043332809,0.107448521489704,0,0.0019976,0.0372235776658534,0.0033802989859103,9.20000184000037e-06,0.0272236945552611,0.000762999694800122,0.0245578,0.00111620022324004,0.0723715217114565,0.00536829946317005,0.0471694858491542,0.00928359814328037,0.0197624,0.001562698749841,0.0175388929844428,0.0675146729941308,0.00567909659254204,0.0184106
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens",0,0,0.000165199900880059,0.000197899940630018,0,0.000128999987100001,0.000395499960450004,0.000194600097300049,0,0.0014128,1.02999969100009e-05,0.000168300084150042,0.000646200064620006,0.000224200044840009,0.00168939983106002,0.000325399869840052,0.00249840024984002,0.00192419923032031,0,6.38000063800006e-05,0.000782199687120125,0.0001023,0.000377900075580015,0.000136100013610001,0.00223480022348002,0.000643699871260026,0.0049803990039202,0.00083869958065021,9.7199990280001e-05,0.00310939906718028,0.00160810016081002,8.3e-06,0.00266579973342003,0.0224647,0.0003928,0.000460299907940018,0.000800599759820072,0.00296620029662003,0.000554799778080089,0,0.000284900056980011,0.00130719960784012,0.000302499758000194,0.00205179917928033,0.00127900012790001,0.00102830020566004,0.0134557013455701,0,0,0.00155740015574002,9.30000093000009e-06,0.0020113,0.000199599960080008,0.000469199859240042,0.00102870020574004,0.00907910363164145,0.0043689,0.00294939941012012,0.000692999722800111,0,5.33000373100261e-05,0,0,0,3.79999924000015e-06,0,0.000285499942900011,0.00167819916090042,0.00639580127916026,0,0,0.000628800377280226,0.000884500530700319,0,0.000140700070350035,0,0,4.40000044000004e-06,0.000403899878830036,0.000379400037940004,0.00106649989335001,0.000894200357680143,0,5.99999640000216e-06,0,0,0.000168799915600042,0.000177400106440064,0.0125520974895805,0.000574000172200052,0.0002471,0.0007852,0,0.000200100160080128,0,4.75999952400005e-05,0.0005964,0.00170379931848027,0.000519800155940047,2.10999957800008e-05,0.000101400020280004,0.000304200060840012,0.000374800074960015,0,0.00013949991630005,0.000634099809770057,0.00049570009914002,9.54999809000038e-05,0.000394699842120063,0.0004587,0.000106300021260004,0.00135920040776012,0.000714899928510007,0.000614999815500055,0.00365529926894015,0,0.000164999868000106,0.000648999740400104,0.0108103956758417,1.6599990040006e-05,0.000209
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8",0.00355939964406004,0,0.00239609856234086,0,0.000299099970090003,0.000745999925400007,0.000864499913550009,0.00395140197570099,0.00166840033368007,0.0051243,0.000322099903370029,0.00728870364435182,0.00185070018507002,0.000797700159540032,0,0.0031537987384805,0.000674900067490007,0,0,0.000854500085450009,0.00168529932588027,0.0003111,0.000803100160620032,0.00123410012341001,0.00118170011817001,0.000606299878740024,5.82999883400023e-05,0.000298499850750075,0.000291899970810003,0,0,0.0039714,0,0,0.0001878,1.67999966400007e-05,0.000291899912430026,0,0.000420099831960067,0,0.0023839004767801,0,0,0,0.00342750034275003,0.000392900078580016,0,0,0.0201273,0.00169230016923002,9.9100009910001e-05,0,0,0,0.000838800167760033,0,0,0.0111531977693604,0,0.000608799878240024,0,0.00141550028310006,0.000633699873260025,0,0,0.00138289986171001,0.00117549976490005,0.00114169942915029,0.0191946038389208,0.0043558,0.0011514996545501,5.07000304200183e-05,0.000357000214200129,0,0,4.69999906000019e-06,0,0.000237000023700002,0.00473679857896043,0,0.000536199946380005,0.00151550060620024,0.00131749986825001,0.000626999623800226,0,0.00468590093718019,0.000660799669600165,0.00288590173154104,0,6.09000182700055e-05,0.0006051,0.0012047,0,1.570001256001e-05,0.00105520052760026,0.00700029929997007,0,0,0.00201040060312018,0.000902999819400036,0.000942900188580038,0,0.000369400073880015,0.0044802,0.00459379724372165,0.00212469936259019,0.00103290020658004,0.00210259957948008,0.0152486939005224,0.0052046,0,0.00320550096165029,0,0.000118399964480011,0,0,0.000197699841840127,0.000111499955400018,0,0,0.0021313
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis",0,0.00232809953438009,0.00302509818494109,0.0284722914583126,0.0152817984718202,0.00919819908018009,0.0100147989985201,0.0036040018020009,0.00924560184912037,0.0363392,0.0033355989993203,0.0148993074496537,0.0305435030543503,0.0171383034276607,0,0.0412263835094466,0,0.00167199933120027,0,0.0390377039037704,0.000301599879360048,0.0005276,0.0376518075303615,0.00656840065684007,0,0.00176039964792007,0.000651399869720026,0.00217619891190054,0.00174179982582002,0.0308573907427828,0,0.0040941,0.00398159960184004,0.0055142,0.0004175,0.0164665967066807,0.0128246961525912,0.0124538012453801,0.00269489892204043,0.000916800091680009,0.0272282054456411,0.0103803968858809,0.00474049620760303,0.00391939843224063,0.0182433018243302,0.00940080188016038,0.00128710012871001,0,0.0083649,0.0157367015736702,0.00313160031316003,0,0.00460849907830018,0,0.0023895004779001,0,0,0,0.00575999769600092,4.84999903000019e-05,0.000717900502530352,0.0120837024167405,0.00426269914746017,0.00587690117538023,0,0.00539109946089005,0.0118650976269805,0.0230821884589058,0.0139017027803406,0.0622147,0.00653479803956059,0.00148150088890053,0.0153755092253055,0.0174576034915207,1.00000050000025e-05,0.000306899938620012,0,0.00373480037348004,0.0186417944074617,0.00927530092753009,0.0318719968128003,0.0131536052614421,0,0.000498199701080179,0,0.0139828027965606,0.024085387957306,0.0217179130307478,0,0.00896580268974081,0.0074614,0.0074377,0,0.00491290393032314,0.00177210088605044,0.00144989985501001,0.0257054,0.0179054928378029,0,0.0201643959671208,0.0110905022181004,0.0173534034706807,0.00532140106428021,0.0096446,0.00921579447052332,0,0,0.0308145938370812,0.0012226995109202,4.71e-05,0.00270600054120011,0.000523100156930047,0,0,0.00175699964860007,0,0.00211469830824135,0.00761629695348122,0.00423409830636068,0.00840069495958302,0.0151747
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica",0,0,0,0,0,0,0,0.000172600086300043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99999790000063e-07,0,0,0,0,0,0,0,0,0.000496699801320079,0,0,0,0,3.26999869200052e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50000570000342e-06,0,0,0,0,0,1.59999952000014e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60000138000041e-06,0,0,0,0,0,0,0,0,0
