"","metahit","metahit.1","metahit.2","metahit.3","metahit.4","metahit.5","metahit.6","metahit.7","metahit.8","metahit.9","metahit.10","metahit.11","metahit.12","metahit.13","metahit.14","metahit.15","metahit.16","metahit.17","metahit.18","metahit.19","metahit.20","metahit.21","metahit.22","metahit.23","metahit.24","metahit.25","metahit.26","metahit.27","metahit.28","metahit.29","metahit.30","metahit.31","metahit.32","metahit.33","metahit.34","metahit.35","metahit.36","metahit.37","metahit.38","metahit.39","metahit.40","metahit.41","metahit.42","metahit.43","metahit.44","metahit.45","metahit.46","metahit.47","metahit.48","metahit.49","metahit.50","metahit.51","metahit.52","metahit.53","metahit.54","metahit.55","metahit.56","metahit.57","metahit.58","metahit.59","metahit.60","metahit.61","metahit.62","metahit.63","metahit.64","metahit.65","metahit.66","metahit.67","metahit.68","metahit.69","metahit.70","metahit.71","metahit.72","metahit.73","metahit.74","metahit.75","metahit.76","metahit.77","metahit.78","metahit.79","metahit.80","metahit.81","metahit.82","metahit.83","metahit.84","metahit.85","metahit.86","metahit.87","metahit.88","metahit.89","metahit.90","metahit.91","metahit.92","metahit.93","metahit.94","metahit.95","metahit.96","metahit.97","metahit.98","metahit.99","metahit.100","metahit.101","metahit.102","metahit.103","metahit.104","metahit.105","metahit.106","metahit.107","metahit.108","metahit.109"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0.0304977908506627,0.0584116,0.00157909968418006,0.001767,0.012503694998522,0.0049234,0.0323039935392013,0.0828310751506775,0.0340214897935531,0.000722500144500029,0.260467526046753,0.0163367,0.0288161,0.0409786122935837,0.000325199869920052,0.00303920030392003,0.00482090289254174,0.0478125047812505,0.000921099815780037,0.0762659228797769,0,0.0721789288715715,0.0341281931743614,0.049539990092002,0.0679069067906907,0.0576383230553292,0.0113071011307101,0.0146507985349201,0.016396,0.204586238624128,0.0153789015378902,0.00970820194164039,0.033442389967283,0.121588336476501,0.00284790170874103,0.0677392932260707,0.00724559855088029,0.00253609974639003,0,0.0777317077731708,0.000366999889900033,0.106579657368137,0.0143870942451623,0.0106151989384801,0.0381699885490034,0,0,0.0138355944657622,0.0119591023918205,0.00418529832588067,0.0693878930612107,0.0449294044929405,0,0.0369482889155133,0.0438157087631418,0,0.0744691074469108,0.0326882869246852,0.0419126,0.00345479930904014,0.0288763913370826,0.0099503980099204,0.00188699962260008,0.0222566,0.0099866039946416,0.0191123961775208,0.0074804029921612,0.0377243924551215,0.00140170028034006,0.0425285914942817,0.00463169907366019,0.000798299521020287,0.024907209962884,0.00184440055332017,0.0107054053527027,0.00655990131198026,0.00125360012536001,0,0.00505019848494045,0.00096020048010024,0.0248867024886703,0.0286612057322411,0.0705951,0.000839900587930411,0.000375300112590034,0.0124058987594101,0.0047573,0,0.000575800057580006,0.0308618,0.165283949585185,0.0499472249736125,0.00105660010566001,0.087269,0.0626230187869056,0.0927993556796134,0.0181100018110002,0.0587588058758806,0.00662299735080106,0.0687269137453827,0.00413060041306004,0,0.0257466154479693,0.0637427063742706,0.0298470910458727,1.49999940000024e-05,0.0036088018044009,0.007775,0.00748999775300067,0.0112498011249801
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",0.0486164854150544,0.0353904,0.00849539830092034,0.005621,0.0200515919793632,0.0002684,0.0126374974725005,0.0898361730491481,0,0.0779543155908631,0,0.0144147,0.0098443,0.0158572047571614,0.00227579908968036,0.00353720035372004,0.0163819098291459,0.0387569038756904,0.00442579911484018,0.0407430122229037,0.00431139913772017,0.0886659354663742,0.026131894773621,0.0954089809182038,0,0.0226140090456036,0.0219273021927302,0.0306208969379103,0.0678356,0.0406017878194637,0.00575640057564006,0.0120254024050805,0.0351924894422532,0.032810309843093,0.0080388048232829,0.000778599922140008,0.00853649829270034,2.83999971600003e-05,0,0.00934020093402009,0.0164368950689315,0.0148911940435224,0.0262717894912842,0.0323460967653903,0.00874799737560079,5.61999943800006e-05,0,0.00606159757536097,0.00601620120324024,0.00648759740496104,0.00812129918787008,7.80000078000008e-06,0.214256357148729,0.0246564926030522,0.00850450170090034,0.0349519069903814,0.0360379036037904,0.00018599992560003,0,0.00826439834712033,0.150404554878634,0.0026012994797401,0.00549459890108022,0.0086767,0.0916961366784547,0.0424139915172017,0.0344514137805655,0.00761269847746031,0.0158702031740406,0.0418687916262417,0.000333999933200013,0.00229829862102083,0.0238281095312438,0.00647520194256058,0.00424540212270106,0.00217220043444009,0.0340582034058203,0,0.00136319959104012,0.000651700325850163,0.0290495029049503,0.00789440157888032,0.0374134,0.0196289137402396,0.00129810038943012,0,0.0070679,0,0.00862980086298009,0.0218603,0.0489793146937944,0.0596546298273149,0.00425790042579004,0.0071221,0,0.0310789186473512,0.0305351030535103,0.0103546010354601,1.79999928000029e-05,0.00707500141500028,0.0113027011302701,0.000345300069060014,0.00840900504540303,0.0191579019157902,0.0184945944516217,0.0201767919292832,0.00451520225760113,0.0369882,0.00700519789844063,0.0124304012430401
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens",0.00056069983179005,0.0032967,0.000672099865580027,0.0001883,0.000115799953680019,0,0.000147399970520006,0.00266409920077024,0.0122946963115911,0.000315500063100013,0,0.0007076,0.0077226,6.10000183000055e-05,1.31999947200021e-05,0.00100730010073001,0.000642300385380231,0,0.000118899976220005,0.00344100103230031,0,0.00539010215604086,0.00337059932588013,0.00183799963240007,0,0.000977800391120156,1.99000019900002e-05,6.79999932000007e-05,0.0002414,7.32999780100066e-05,0.00115090011509001,0,0.000321499903550029,0,0.00024940014964009,0.00512349948765005,0,2.61999973800003e-05,0,0,0.000127399961780011,0.00463489814604074,0.0139341944263222,0,0,0.0106326989367301,0.00109930021986004,0.00195159921936031,0.00211010042202008,9.55999617600153e-05,5.46999945300005e-05,0.00893750089375009,0,0.00011589996523001,1.73000034600007e-05,0.00208950041790008,0.0204381020438102,0.00489339804264078,0.0085894,0.000430999913800017,0.00206509938047019,6.85999862800027e-05,0.000858199828360034,0,0.000766400306560123,0,0.000852600341040136,0.000125099974980005,0.00117800023560005,0.00209429958114008,0.00203769959246008,0,0.0012385004954002,0.000483800145140044,0.00326910163455082,0.000522500104500021,0.000209300020930002,0,0,0.000124000062000031,6.55000065500007e-05,8.17000163400033e-05,0.002058,0,0,0,0.0004621,0.000139100041730013,0.000272700027270003,0.0001988,0,0.0123224061612031,0.000230100023010002,0.0019936,0.000255800076740023,0,8.10000081000008e-05,0.00103980010398001,0.000138499944600022,0,0.000173600017360002,0,0.00150090090054054,0,0.000142199957340013,0,0.000293800146900073,1.83e-05,0.000304799908560027,9.4900009490001e-05
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8",0.0168718949384315,0,0.000611199877760024,0.0030463,0.00448079820768072,0,0.00544899891020022,0,0,0.00198620039724008,2.15000021500002e-05,0.0060776,0,0.00574310172293052,0.00302469879012048,0.000280700028070003,0.00162690097614059,0.0111724011172401,0.000205099958980008,0.00761580228474069,0.00673239865352027,0.0424951169980468,0.00444509911098018,0.00318679936264013,0.0293872029387203,0.00477580191032076,0.00862410086241009,0.0111805988819401,0.0026577,0.00814309755707073,0.00394970039497004,0.00181510036302007,0.0022421993273402,0.00517750155325047,0.0075075045045027,0.00722529927747007,0.00075309984938003,0.000170899982910002,0,0.00179050017905002,0.00632349810295057,0.0056427977428809,0.00306369877452049,0.00202979979702002,0,0,0.0317784063556813,0.0012391995043202,0.00479590095918019,0.00431889827244069,0.0383325961667404,0.00451810045181004,0.00323499935300013,0.00192779942166017,0.00722040144408029,0.00782190156438031,0,0.0012745994901602,0,0,0.00163999950800015,0.00615629876874025,0.000899299820140036,0.000749,0.00218020087208035,0.0265173946965211,0.00404780161912065,0.0134014973197005,0.000189000037800008,0.00319119936176013,0.0107547978490404,0,0,0.0066645019993506,0.00217910108955054,0.0026018005203601,0.000530800053080005,0,0.0399538880138336,0.00271010135505068,0.00488290048829005,0.00280520056104011,0.0224761,0.0242510169757119,0.00077500023250007,0.00913629908637009,9.78e-05,0,0.000634800063480006,0.0007139,0,0.000620300310150155,0.00115640011564001,0.0161323,0.0196256058876818,0,0.0178009017800902,0.0306237030623703,0.0108566956573217,0.0118839023767805,0.00346060034606003,0.0118113023622605,0.00214860128916077,0.00227150022715002,0.00102339969298009,0.00801659679336128,0.00771330385665193,0.0001412,0.00132059960382012,0.0107977010797701
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinilabiliaceae|g__Marinilabiliaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99999940000006e-06,0,0,0,0,0,0,0,5.09999847000046e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis",0.00415679875296037,0,0.00880669823866035,0.0016078,0.0322482871006852,0.0285955,0.0347022930595414,0.0437751868674439,0,0.024495604899121,0.0470898047089805,0.0070199,0,0.126615037984511,0.000568199772720091,0.000131100013110001,0.000769300461580277,0.0121551012155101,0.00388249922350015,0.0161847048554115,0.0182167963566407,0.000618300247320099,0.00111079977784004,0.0024058995188201,0,0.0132562053024821,0.0504662050466205,0.0708670929132907,0.0042795,0.00854509743647077,0.00355850035585004,0.0295217059043412,0.032935690119293,0.00601990180597054,0.00564920338952203,0,0.00423799915240017,7.23999927600007e-05,0,0.00606050060605006,0.00589199823240053,0.0291319883472047,0.0241108903556439,0.0687550931244907,0,0.111769888823011,0.0675191135038227,0.00214589914164034,0.0117760023552005,0.0696840721263711,0.0466067953393205,0.0933109093310909,0,0.0251997924400623,0.0126743025348605,0.0575776115155223,0.0177009017700902,0.00133849946460021,0,0.023945395210921,0.010858596742421,0.00561229887754022,0.00483919903216019,0.0749614,0.0353922141568857,0.00729209854158029,0.00157410062964025,0.0463346907330619,0.00297440059488012,0.0206194958761008,0.0337161932567613,0.000982599410440354,0.00055990022396009,0.0126145037843511,0.00268370134185067,0.00155870031174006,0.0120357012035701,0,0.00160459951862014,0.00930120465060232,0.0148280014828001,0.00269330053866011,0.0562062,0.0717358502150952,0.000732400219720066,0.000220699977930002,0.0047086,0,0.00770290077029008,0.0081192,0,0.0150917075458538,0.000640600064060006,0.0118642,0.00756580226974068,0.0395507237304342,0.0402900040290004,0.0100496010049601,0,0.0285121057024211,0.0124083012408301,0.0439828087965618,0.022120513272308,0.0262276026227603,0.00235139929458021,0.0115500953799618,0.0340441170220585,0.0079868,0.011355396593381,0.0217368021736802
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica",0,1.63e-05,5.63999887200023e-05,0,6.08999756400097e-05,0,0,3.04999908500027e-05,0,0,0,0.0001536,0,9.57000287100086e-05,6.19999752000099e-06,0,0,8.82000088200009e-05,0,3.40000102000031e-05,0,0,6.09999878000024e-06,5.36999892600021e-05,0,0,2.56000025600003e-05,4.27999957200004e-05,0,0.00010999996700001,3.35000033500003e-05,0,1.04999968500009e-05,0,3.00000180000108e-06,0.000107699989230001,0,0,0,1.44000014400001e-05,0.000122099963370011,3.69999852000059e-05,3.19999872000051e-05,1.15999988400001e-05,0,0,2.65000053000011e-05,2.19999912000035e-05,1.47000029400006e-05,0,0,0,0,3.24999902500029e-05,1.23000024600005e-05,6.22000124400025e-05,0,0,0,0,0,1.96999960600008e-05,0,0,1.44000057600023e-05,1.60999967800006e-05,4.24000169600068e-05,9.17999816400037e-05,0,0,0,0,0,8.08000242400073e-05,0,0,0,0,0.000238099928570021,4.30000215000108e-05,0,0,2.9e-06,3.70000259000181e-05,0,3.04999969500003e-05,0,0,0,3.11e-05,0,1.1900005950003e-05,3.07000030700003e-05,2.63e-05,7.31000219300066e-05,4.97000298200179e-05,2.37000023700002e-05,7.12000071200007e-05,6.09999756000098e-05,3.29000065800013e-05,5.20000052000005e-06,0,5.64000338400203e-05,0,1.55999953200014e-05,0,0,1.88e-05,2.75999917200025e-05,7.50000075000008e-06
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus",0.000715899785230064,0.0006959,0.000773299845340031,4.98e-05,0.000589299764280094,0,0.000804899839020032,0,0.0103377968986609,0.00114920022984005,0,0.0003892,0.0023024,0,0,0,7.87000472200283e-05,6.42000064200006e-05,0,0,0,0,5.19999896000021e-06,0.000215999956800009,0,0,0.000173700017370002,0.000361399963860004,0,0,0.000159000015900002,0.00127990025598005,0.00267419919774024,0,0,0,0.000111099977780004,0,0,0,0.000452199864340041,0.000182399927040029,0.000235999905600038,0,0,0,0.00431170086234017,0.000341499863400055,0,0.000836899665240134,0.000335799966420003,0.000779000077900008,0,2.61999921400024e-05,0.000522300104460021,0.000934700186940037,0.000739700073970007,0.000638699744520102,0,0.00025849994830001,1.00999969700009e-05,2.08999958200008e-05,5.0999989800002e-05,0,0.000217100086840035,0.00185959962808007,7.93000317200127e-05,0,0.000152600030520006,0.00149759970048006,0,3.6199978280013e-05,0,0.000236100070830021,8.4100042050021e-05,2.25000045000009e-05,7.02000070200007e-05,0,6.17999814600056e-05,0.00012080006040003,9.11000091100009e-05,0,0,9.1900064330045e-05,0,0.000340199965980003,0.000144,0,0,0.0006371,0,0,2.80000028000003e-05,0.0001543,0.000708900212670064,0,0.000495400049540005,0.000551800055180005,0,0,0,0.000789500157900032,4.69000281400169e-05,0,0.000528399841480048,0,0,0,0.000379499886150034,4.10000041000004e-05
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas|s__Dysgonomonas_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27999961600012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78000027800003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus",0,0,0,0,0,0,0,0.00411799876460037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000390499843800063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus",0.0088830973350708,0.0119365,0.00655659868868026,0.0067169,0.0161681935327226,0.0182977,0.00401089919782016,0.0127302961809111,0.0103779968866009,0.0195977039195408,0,0.0033237,0,0.0104872031461609,0,0.00425470042547004,0.00317570190542114,0.00633300063330006,0.00163589967282007,0.011336303400891,0.0238133952373209,0.0167442066976827,0.00617449876510025,0.0116468976706205,0.0099469009946901,0.00967490386996155,0.0103790010379001,0.0147096985290301,0.0052471,0.00990789702763089,0.00450790045079005,0.00649550129910026,0.00736109779167066,0.00533280159984048,0.0240413144247887,0.0148517985148201,0.00402589919482016,0,0.00345240069048014,0.00362830036283004,0.00376379887086034,0.00428729828508069,0.0093924962430015,0.00577759942224006,0.0159190952242714,0,0.0074518014903603,0.00778679688528125,0.00683070136614027,0.0075276969889212,0.0129890987010901,0.0147756014775601,0.0111921977615604,0.00813069756079073,0.0050701010140202,0.0025368005073601,0.00859330085933009,0.00228309908676037,0.0192634,0.0076060984787803,0.00770539768838069,0.00938739812252038,0.00521129895774021,0.0166452,0.0176553070621228,0.0205174958965008,0.00380870152348061,0.00574129885174023,0.00235930047186009,0.00672099865580027,0.00781349843730031,0,0.0102725041090016,0.00748830224649067,0.00729540364770182,0.00215610043122009,0.00195460019546002,0,0.00234409929677021,0.00903990451995226,0.00458750045875005,0.00210980042196008,0.0064022,0.00832860583002408,0.00126420037926011,0,0.0018702,0,0.00196650019665002,0.0084447,0,0.00779410389705195,0.00107360010736001,0.0080623,0.00430720129216039,0.00803000481800289,0.0103506010350601,0.00518120051812005,0.00265579893768042,0.00726540145308029,0,0.0099023019804604,0.0100197060118236,0.0189639018963902,0.0128034961589512,0.00429479828208069,0.00929020464510232,0.007149,0.00754639773608068,0.00475130047513005
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified",0,0,0,0,0,0,0,0.0258003922598823,0,0,0.000384400038440004,0,0,0,0.000841399663440135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174099982590002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000936799906320009,0,5.94000178200053e-05,0,0,0,0,0,0,0,0,0,0,0.000457299817080073,0,0.000283600028360003,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0.00212949936115019,0.0013544,0.000442599911480018,0.0031088,0.00202419919032032,0,0.00672349865530027,0.0231662930501121,0.0572777828166652,0.00815320163064033,0.0126967012696701,0,0,0.00597450179235054,2.19999912000035e-05,0.000924100092410009,0,0.0127142012714201,0.00265889946822011,0.0199416059824818,0,0.000158400063360025,0.00381429923714015,2.64999947000011e-05,0,0.00362340144936058,0.000312000031200003,0,0.0023936,0.0089071973278408,0.000143400014340001,0.0167297033459407,0.00394249881725036,0.0055523016656905,0.00114230068538041,0.00476979952302005,0.00435919912816017,0.000709399929060007,0,0.00497450049745005,0.000313799905860028,0.0166339933464027,0,0.00537419946258005,0.0116995964901211,0,0.00965580193116039,2.98999880400048e-05,0.00716010143202029,0,0.00202649979735002,0.00137090013709001,0.0313110937377813,0.00102879969136009,0.00594200118840024,0,0.0133232013323201,6.10999755600098e-05,0.0540265,1.36999972600005e-05,0,0,0.000968799806240039,0.0011514,0.00293120117248047,0.00112939977412005,0.00299320119728048,0,0.000176700035340007,1.16999976600005e-05,3.39999932000014e-06,0,0.00902430360972144,0.00209880062964019,0.00891840445920223,0.00101920020384004,0.00337700033770003,0,0.000717899784630065,0.00016100008050004,0.00489790048979005,0.00229050045810009,0.0185489,1.73000121100085e-05,0.000256500076950023,0,0.0011866,0,2.26000022600002e-05,0.0116461,4.72000141600042e-05,0.0142643071321536,0.000888400088840009,0,0.00241530072459022,0.000115000069000041,0.00135680013568001,0.0244141024414102,0.00360649855740058,0,0.0105136010513601,0.000819400163880033,0.00963160577896347,0.00287620028762003,0.0208445937466219,0.000895999641600143,0.00715660357830179,0.0062408,0.0229052931284121,0.00189140018914002
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii",0,0,0,0,0.00479209808316077,0,0,0.000134699959590012,0,0,0,0,0,0,0,0.00234140023414002,0,0.00521570052157005,0,0,0,0,0,0.000115099976980005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000717300071730007,0.0011522996543101,0,0,0,0,0.00811409918859008,0,0,0.000178000035600007,0.0081557967376813,0,0,0,0,4.59000091800018e-05,0,0,0,0,0,0,0,0,0.0047904,0,0,0,0,0,0,0,0,2.34000093600037e-05,0,0,0.000657000131400026,0,0,0,0,0,0,0,0,3.24000097200029e-05,0,0,0,0,0.0061621,0,0,0.000269500026950003,0.0016716,0.00322900096870029,0,0.00124670012467001,0.00487410048741005,0,0.000152300030460006,0,0,0.000164300098580059,0,0.00277349916795025,0,0,0,0.0011629996511001,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii",0,0,0.00024289995142001,3.61e-05,0.0259119896352041,2.7e-06,1.16999976600005e-05,0.0630273810917857,0,0.00048990009798002,0,0.0505039,0,0,0,0,0,0,0,0,0,0,6.29999874000025e-06,0,0,0.00133690053476021,0,0,0,0,0,0,9.23999722800083e-05,0,0.000902500541500325,0,0,0,0,0.000537500053750005,0,0,0,0.00252369974763003,0,0,0.00989760197952039,0,0.000935400187080037,0,0,0,0,0,0.000355000071000014,0,0.0132859013285901,0,0,0,0,0.000766499846700031,0.000124599975080005,0,0,9.69999806000039e-06,0,0,0,0,0,0,0.000482100192840077,0.0011625003487501,0,0.000200700040140008,0.00735820073582007,0,0,2.77000138500069e-05,0,0,0,0,4.32000129600039e-05,0,0.0004984,0.100906230271869,0,0.0019461,0,0,4.94000049400005e-05,0,0,3.50000210000126e-06,0.00489350048935005,0.00870170087017009,0.00146769941292023,0,0.00159540015954002,0,0.00300400180240108,0.00825100082510008,2.69999919000024e-06,0,0.0163030081515041,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae",0.0033139990058003,0.0235117,0.00195249960950008,0.0030656,0.0280554887778045,0.0086879,0.0050023989995202,0.00597479820756054,0.0549263835220849,0.0128219025643805,0,0,0,0.0145984043795213,0.00756699697320121,0.00554190055419006,0.0207652124591275,0,0.00306849938630012,0.011327903398371,0,0,0.0295001940999612,0.0262860947427811,0.0176599017659902,0.0282255112902045,0.00661280066128007,0.00930099906990009,0.027074,0,0.00673360067336007,0.00615900123180025,0.00829459751162075,0,0.0124365074619045,0,0.00911119817776036,0.00448939955106004,0,0.000370400037040004,0.0240235927929222,0.0595249761900095,0.0326827869268852,0.0234443976555602,0,0,0,0.0136429945428022,0.0297683059536612,0.0203920918431633,0,0.099090009909001,0,0.0206760937971719,0.0147391029478206,0,0,0.0261689895324042,0,0.0478965904206819,0.0140897957730613,0.00147719970456006,0.00413129917374017,0.0034612,0,0.0105243978951204,0.0110505044202018,0.0218600956279809,0.0126506025301205,0.0150807969838406,5.0999989800002e-06,0.000880999471400317,0.00959670383868154,0.00127420038226011,0.0269128134564067,0.00590760118152024,0.0122514012251401,0.0137217013721701,0.0426245872126238,0.004012702006351,0,0.0076084015216803,0.0288378,0.00892210624547437,0.00149510044853013,0,0.0011438,0.000304500091350027,0,0.0126276,0,0,0.000578300057830006,0.0172628,0.00403190120957036,0.0248506149103689,0.0118435011843501,7.07000070700007e-05,0.0244454902218039,0.0320555064111013,0.00461440046144005,0,0.00772080463248278,0,0.0145420956373713,0,5.77000288500144e-05,0.0136539,0.0137365958790212,0.0182783018278302
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_20_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_D13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00464540046454005,0,0,0,0,0,0,0,0,0,0,0,0.0173488930604428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00836839832632033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified",0.00355839893248032,0,0.00673709865258027,0.018469,0,0.0227451,0.00363939927212015,0,0.0254494923651523,0.0566493113298623,0.0529483052948305,0.0269954,0.0008401,0.0234743070422921,0.0049839980064008,0.00302130030213003,0.0044522026713216,0,0.026166094766781,0.00688890206667062,0.000367399926520015,0.000952400380960152,0.0470916905816619,0.0353210929357814,0,0,0.00454910045491005,0,0,0.00734859779542066,0.00441840044184004,0.0335031067006213,0.0177696946690916,0.0120121036036311,0.0061013036607822,0.0183660981633902,0,0.00535139946486005,0.00025730005146001,0.0111065011106501,0.0125295962411211,0,0,0.0099097990090201,0.00392409882277035,0,0.00321420064284013,0.0151777939288824,0,0,0.00690869930913007,0,0.0715270856945829,0,0,0.0134177026835405,0,0.00673149730740108,0.1343955,0,0.0244965926510222,0.00903529819294036,0,0.0281194,0.0696494278597711,0.00405959918808016,0.0087728035091214,0.0335692932861413,0.00485340097068019,0.0311096937780612,0.000224699955060009,0.000178699892780064,0.00586560234624094,0.0207149062144719,0.00691120345560173,0,0,0,0,0.011834005917003,0.00832190083219008,0,0,0,0.000699400209820063,0.0157246984275302,0.0080056,0,0.00436930043693004,0,0.0747774224332267,0.0499293249646625,0.00542900054290005,0.0152362,0.0011020003306001,0.0186470111882067,0.00830940083094008,0.0376036037603604,0,0,0,0.0664554132910827,0.0213252127951277,0.0136702013670201,0.0188070943578717,0.00489169804332078,0,0.0089214,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica",0,0,0,0,0,0.0001291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175500035100007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239599928120022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126999961900011,0.0028003014001507,0,0,0,2.37000165900116e-05,0,0,0,0,0,0,0,0,0,1.71e-05,0,0,0,0,0,0,0,0,0.00359530215718129,0,0,0,2.10000105000053e-06,3.13e-05,0,0
