"","WT2D","WT2D.1","WT2D.2","WT2D.3","WT2D.4","WT2D.5","WT2D.6","WT2D.7","WT2D.8","WT2D.9","WT2D.10","WT2D.11","WT2D.12","WT2D.13","WT2D.14","WT2D.15","WT2D.16","WT2D.17","WT2D.18","WT2D.19","WT2D.20","WT2D.21","WT2D.22","WT2D.23","WT2D.24","WT2D.25","WT2D.26","WT2D.27","WT2D.28","WT2D.29","WT2D.30","WT2D.31","WT2D.32","WT2D.33","WT2D.34","WT2D.35","WT2D.36","WT2D.37","WT2D.38","WT2D.39","WT2D.40","WT2D.41","WT2D.42","WT2D.43","WT2D.44","WT2D.45","WT2D.46","WT2D.47","WT2D.48","WT2D.49","WT2D.50","WT2D.51","WT2D.52","WT2D.53","WT2D.54","WT2D.55","WT2D.56","WT2D.57","WT2D.58","WT2D.59","WT2D.60","WT2D.61","WT2D.62","WT2D.63","WT2D.64","WT2D.65","WT2D.66","WT2D.67","WT2D.68","WT2D.69","WT2D.70","WT2D.71","WT2D.72","WT2D.73","WT2D.74","WT2D.75","WT2D.76","WT2D.77","WT2D.78","WT2D.79","WT2D.80","WT2D.81","WT2D.82","WT2D.83","WT2D.84","WT2D.85","WT2D.86","WT2D.87","WT2D.88","WT2D.89","WT2D.90","WT2D.91","WT2D.92","WT2D.93","WT2D.94","WT2D.95"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39000281700085e-05,0,0,0,0,0,0,2.78999944200011e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara",0,0,0.000902699729190081,0.00454170272502164,0.00498059950194005,0,0,0.00193899961220008,0,0,0,0.00303509969649003,0.00561830056183006,0,0,0,0,0.00545319781872087,0.00495340247670124,0,0,0,0,0,0,0,0,0,0,0.001926,0,0,0.00515980103196021,0.00135709932145034,0,0,0.00611999938800006,0.0005105,0,0,0,0,0.00068480027392011,0.0022103,0,0.0143243985675601,0,0,0,0,0,0.0060549,0,0.000648700194610058,0.0109388978122204,0.000656199803140059,0,0,5.72e-05,0.00516640051664005,0,0.00174850017485002,0.00601569819529054,0.0029559,0,0,0,0.000161900032380006,0.00118849952460019,0,0.0009188,0,0,0,5.73e-05,0,0,0,0.00443919911216018,0,0,0,0.00255830025583003,0,0,0,0,0,0,0,0,0.00146419985358001,0.0018861,0,0.000156400062560025,5.81000232400093e-05
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified",0,0,0.00197349940795018,0.00531500318900191,0.0123771987622801,0,0,0.00580559883888023,0,0,0,0.00669609933039007,0.00819820081982008,0,0,0,0,0.012696394921442,0.00447740223870112,0,0,0,0,0,2.08999958200008e-05,0,0,0,0.000169600033920007,0.0017764,0.000556200055620006,0,0.0115020023004005,0.00146859926570037,0,0,0.00427599957240004,0.002037,0,0,0,0,0.00202960081184032,0.0044204,0,0.0292685970731403,0,0,0,0,0,0.0158379,0,0.00166250049875015,0.0102431979513604,0.00101709969487009,0,0.00707650141530028,0.0004189,0.0159647015964702,0.00462419907516019,0.00176080017608002,0.00632729810181057,0.0031658,0,0,0,0.000217300043460009,0.000661199735520106,0,0.0024747,0,0,0,0.0002053,0,0,0,0.0118557976288405,0,0,0,0.00598550059855006,0,0,0,0,0,0,0,0,0.00156249984375002,0.0018785,0,0.000829700331880133,0.000241600096640039
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila",0,0,8.58999742300077e-05,0.0013908008344805,0.00118259988174001,0,0,0,0,0,0,3.33999966600003e-05,0.00119540011954001,0,0,0,0,7.66999693200123e-05,0.000827700413850207,0,0,0,0,0,0,0,0,0,0,0.000271,0,0,1.19000023800005e-05,0.000404499797750101,0,0,0.00167849983215002,0,0,0,0,0,2.4700009880004e-05,2.86e-05,0,0.000428199957180004,0,0,0,0,0,6.76e-05,0,7.49000224700067e-05,0.00273579945284011,0,0,0.00732500146500029,0,0.000319100031910003,0.0156960968607806,0.000541100054110005,0.0011018996694301,0.0006283,0,0,0,2.30000046000009e-06,0,0,2.22e-05,0,0,0,4.4e-06,0,0,0,7.08999858200028e-05,0,0,0,0.000125200012520001,0,0,0,0,0,0,0,0,0.000152899984710002,5.76e-05,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44999931000014e-05,0,0,0,0,0.000138900041670012,0,0,0,0.0002721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28000331200132e-05
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6e-06,1.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri",0,0,0,0.00627070376242226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098914390108561,0.0194201,0,0.00364560036456004,0,0,0,0,0.000571400171420051,0,0,0,0,0,0,0,0,0.243517873055362,0,0,0,0,0.0070316,0,0.104495679100864,0.0106098010609801,0,0.2024053,0,0,0.0100224979955004,0.00571760114352023,0,0,0,0,0,0,0,0.0279072,0,0.0647685417083125,0.0189655962068808,0,0,0,0,0,0,0,0,0,0,0,0.0640603128120626,0,0,0,0.0117031046812419,0.0087638035055214
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96000029600003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17999976400005e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424300127290038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603784879243024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5799984840003e-05,0,0,0,0,0,0,0,0,0.0003163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii",0.00594989940501006,0.00165639983436002,0.00200689939793018,7.38000442800266e-05,0.00133599986640001,0.0140741014074101,0,0,0.000716900143380029,0.000921899907810009,0.0107012903688387,3.91999960800004e-05,0.00153640015364002,0.000537000053700005,0.000825399504760297,0.00275280165168099,0.00310569968943003,0.00400079839968064,0.000386700193350097,0.0005902,0,0.0050737,0,0.00106530021306004,4.08999918200016e-05,0.00641750128350026,0.0022963,0.000214899978510002,0.00136750027350005,0.0031407,0.000626100062610006,0.000185700037140007,6.02000120400024e-05,0.000713699643150178,0.000533400053340005,0.0022320006696002,7.97999920200008e-05,3.65e-05,3.1500012600005e-05,0.00117420011742001,0,0,8.01000320400128e-05,0,0.000688400206520062,0.00145899985410001,0,0,0.000170900051270015,4.36e-05,0.0001258,0,0.000734899853020029,0,0.000526299894740021,0.00121539963538011,0.0027041,6.87000137400028e-05,0,0.000342100034210003,0.000581999883600023,1.23000012300001e-05,0.00460279861916041,0,0.0214127957174409,0.00233509906596037,0,0.000111200022240004,0,0,0.0002702,0,0.0049667990066402,3.97999960200004e-05,4.7e-06,4.45e-05,0.000850199914980008,0.00109669901297089,0.0100610979877804,0,0.0033823,0,0.00095850009585001,9.71999805600039e-05,0.000499499750250125,0,0.000364599927080015,0.00408240040824004,0.00242760145656087,0.000954200190840038,0,0.000802899919710008,0.0022305,4.21000126300038e-05,0.000166500066600027,0.000191800076720031
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus",0.000616999938300006,5.33999946600005e-05,0.000430199870940039,0,0.00131389986861001,0.000186000018600002,0,0.000223899955220009,0,0.000182199981780002,0.000349699685270283,7.56999924300008e-05,0.0116715011671501,0.000138000013800001,0,0.000291600174960105,0,0.0012472995010802,0.000531100265550133,0.000565,0,0,0.0002925,0,0.00313079937384013,0.000316100063220013,0,0,0.000765300153060031,0.002131,8.68000086800009e-05,7.99000159800032e-05,0,0,0,0,7.09999929000007e-06,0.0001099,0.000533700213480085,0,0,0,6.13000245200098e-05,0.0016355,0,0.00198419980158002,0,0,0.00473430142029043,0.0001597,0.0006281,0,0.00146559970688006,0,0,0,4.22e-05,0,0,0.00099620009962001,0.000791799841640032,3.36000033600003e-05,0.000152499954250014,0.0006235,0,0.00111859955256018,0.00227769954446009,0,0,0.00190749942775017,0.0022417,8.89999644000142e-06,0,0,0.0004363,0,0.000480799951920005,0.00300609729451243,0.000222699955460009,0,0,0.000140899985910001,0.000631700063170006,0.00547499890500022,0.000463699768150116,0,0,0.000915700091570009,0.00030480018288011,0.00024960004992001,0.00827910165582033,0.000152699984730002,9.53e-05,0.000133800040140012,0.000444600177840071,0.00113890045556018
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii",0.0654784934521507,0.000149399985060001,0.000515999845200047,0.000664400398640239,0.00194809980519002,0.00562640056264006,0.00558960055896006,0.000133799973240005,0.0100049020009804,0.00270889972911003,0.0252520772731305,9.5599990440001e-05,0.00187780018778002,0.00724430072443007,0.0424832745100353,0.00259160155496093,0.00664579933542007,0.00762909694836122,0.000586100293050147,0.0016776,0,0.0086103,1.17e-05,0.00234330046866009,0.00587869882426023,0.00717710143542029,0.0004234,0.0175020982497902,0.000512100102420021,0.1292381,0.00105350010535001,0.00122600024520005,0.00261720052344011,9.84999507500246e-05,0.00142040014204001,0.0311362093408628,0.00121479987852001,0.0005018,0.00421820168728067,0.00682990068299007,0,0,0.000966700386680155,0.0279606,0.00104460031338009,0.00110829988917001,0,0,0,0.0079302,0.0008644,0.0011021,0.00366079926784015,0,0.000832899833420033,0.00169689949093015,0.002715,0.00534740106948021,6.43e-05,0,0.000870099825980035,2.95000029500003e-05,0.000570299828910051,0,0.0025301994939601,0.00764469694212122,0,0.00025660005132001,0.0197978920808432,0.0044862986541104,0.0066933,0.000115299953880018,0.0112924977415005,0.000696199930380007,0.0026732,0.0018278,0.000782999921700008,0.00614409447031498,0.000856499828700034,0.000222699888650056,0.0009785,0.00703689929631007,0.00234350023435002,0.000146099970780006,0.000141999929000036,0,0.00554059889188022,0.000492900049290005,0.00517170310302186,0.00135710027142005,0.0050292010058402,0.0096636990336301,0.0029971,0.000469200140760042,0.000326700130680052,0.000108700043480017
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",0.0641173935882606,0.0127598987240101,0.021945493416352,0.00978250586950352,0.00616279938372006,0.0356277035627704,0.0360340036034004,0.0106866978626604,0.025730905146181,0.0164873983512602,0,0.0096783990321601,0.0447911044791105,0.0287567028756703,0.00187889887266068,0.0401057240634344,0.0266021973397803,0.0224789910084036,0.0273022136511068,0.0055028,0.0108717,0.0075363,0.0087855,0.00414840082968017,0.00107749978450004,0.0336452067290413,0,0.0109708989029101,0.0168749033749807,0.0139331,0.0118783011878301,0.00152970030594006,0.0125137025027405,0.0116848941575529,0.0103142010314201,0.033838610151583,0.0164049983595002,0.0025954,0.0151244060497624,0.0227793022779302,0.0354383964561603,0.00888879822224035,0.00838480335392134,0.0283219,0.00905080271524081,0.00611969938803006,0,0,0.309026592707978,0.0185052,0.0059029,0.01926,0.0195237960952408,0.000355100106530032,0.0203003959399208,0.00542169837349049,0.0003136,0.024311804862361,0.00143,0.0237215023721502,0.0467865906426819,0.0295834029583403,0.0156588953023314,0.0041536,0.0205870958825808,0.0297746880901248,0.0049788990042202,0.00309410061882012,0.00540869783652087,0.0134874959537512,0.0302751,0.00221749911300035,0,0.00112859988714001,0.0041475,0.0118032,0,0.0264330762102314,0.00262399947520011,0.00342119828940086,0,0.0184978981502102,0.0208154020815402,0.0118622976275405,0.0124642937678531,0.00165220016522002,0,0.0227878022787802,0.0282282169369302,0.0382654076530815,0,0.0106353989364601,0.0116679,0.0179489053846716,0.0164404065761626,0.00386740154696062
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis",0.000176599982340002,0,0.00382109885367034,0.000273200163920098,0.000938899906110009,5.70000057000006e-06,0,4.65999906800019e-05,5.21000104200021e-05,0,0.00041929962263034,0.000768899923110008,0.00286820028682003,0.000299000029900003,0.000355599786640128,0.00171570102942062,0,0.00149399940240024,0.000356800178400089,0,9.61e-05,0,0.0003694,0,0.000429799914040017,0.000186200037240007,0,0,7.24000144800029e-05,0.0005671,9.06000090600009e-05,0,0.000315400063080013,0.000143599928200036,0,0,0.000197699980230002,0,9.25000370000148e-05,0,0,0,3.03000121200049e-05,0,0.00022360006708002,0.00197639980236002,0,0.000420599915880017,0.00187470056241017,0.0004479,0.0001501,0.0002266,0.000792799841440032,0.000248100074430022,0,6.29999811000057e-05,0.0017329,1.85000037000007e-05,0,0,0,0.000686200068620007,0.00187909943627017,4.11e-05,0.00131899973620005,0.000143699942520023,3.39999932000014e-06,2.83000056600011e-05,0,0.000140999957700013,0.0008452,0,2.79999944000011e-06,0.000796799920320008,7.13e-05,0,0,0.00127449885295103,0.000860699827860034,0,8.88e-05,6.83999931600007e-05,0,0.000672499865500027,0.000135399932300034,0,0,3.03000030300003e-05,0.00102850061710037,0.000852300170460034,0,0.000209199979080002,1.62e-05,0.000438600131580039,0.000114600045840018,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii",0.0096582990341701,0.00425119957488004,0.0179493946151816,0.0016643009985806,0.00693389930661007,0.00102870010287001,0.0153768015376802,0.00125669974866005,0.00320600064120013,0.00194299980570002,0,0.00320319967968003,0.0188884018888402,0.00444370044437004,0.00105209936874038,0.00210710126426076,0,0.018779292488283,0.00227110113555057,0.0016962,0,0,0.001094,0,0.0107074978585004,0.00361960072392014,0.0036906,0.00194089980591002,0.00473190094638019,0.0104488,0.00256420025642003,9.9000019800004e-06,0,0.00145299927350036,0.000466900046690005,0,0.00155799984420002,0.0003877,0.00326340130536052,0.00156040015604002,0,0.00299449940110012,0.00386710154684062,0,0.00260560078168023,0.0163866983613302,0,0.0075105984978803,0,0.0090795,0.0003986,0.0169048,0.0025634994873001,9.20000276000083e-06,0.00425759914848017,0.00478959856312043,0.0039802,0.00344270068854014,3.32e-05,0,0.00371519925696015,0.00114740011474001,0.00368009889597033,0.0022637,0,0.00238669904532038,0.000647699870460026,0.000175100035020007,0,0.00605809818257055,0.023622,0,0,0.00325679967432003,0,0,0.00338709966129003,0.00339009694891275,0.0156253968749206,0,0,0,0.00758530075853008,0.0051132989773402,0.0031922984038508,0,0,0.00335360033536003,0.00523440314064188,0.0025328005065601,0.00439760087952018,0.00331609966839003,0.0010624,0.00176280052884016,0.00158240063296025,0.000401500160600064
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11",0.00461069953893005,0,0,0,0,0,0,0,0.00150510030102006,0.00433189956681004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293679970632003,0,0,0,0,0,0,0.00183840018384002,0.00370420111126033,0,0,0,0.00260580026058003,0,0,0.00148670059468024,0,0.00286260085878026,0.00453369954663005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249140024914002,0,0,0.00981599803680039,0.00718429712628115,0,0,0,0.0044676986596904,0.0076587,0,0,0,0,0,0,0,0,0,0.0052826,0.00292139970786003,0.00226660022666002,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_HGB5",0.00576579942342006,0,0,0,0,0,0,0,0,0,0,0,0.0150862015086202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00450420045042004,0.00861220258366078,0,0,0.00331200132480053,0.0462478046247805,0,0,0,0.0051218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242369927289022,0,0,0,0,0,0,0,0,0,0,0.00635579936442006,0,0,0.00166519983348002,0,0,0,0,0,0,0,0.00811179594410203,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified",0,0,0,0,0,0,0,0.000891899821620036,0,0.000882299911770009,0,0.00414349958565004,0,0,0.0106360936183438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444949955505004,0,0,0,0,0,0,0.00435569912886017,0,0,0,0,0,0.00077600023280007,0,0,0.0103391,0,0,0,0,0,0.00640889807733058,0,0,0,0,0,0,0.00291539912538026,0,0,0,0.0524325947567405,0,0,0,0,0,0,0.0009316,0,0,0,0,0,0.0024540995091801,0,0,0,0.00351950070390014,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga|s__Cellulophaga_unclassified",0,0,0,0,0.000588399941160006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151999984800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143000014300001,7.30999853800029e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000207199958560008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000382599961740004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10000155000078e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92999753500123e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19999912000035e-06,0,0,0,0,6.79999932000007e-05,5.16e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname|s__candidate_division_TM7_single_cell_isolate_TM7c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63999934400026e-05,0,0,0,0,0,2.8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeobacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68999923100008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69999926000015e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified",0,0,0,0,0.000389699961030004,0,0,0,0,0,0,0,0.000173400017340002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88000088800009e-05,0,0,0,0,0,0,0,0.000117300046920019,0,5.68000170400051e-05,0,0.000100900030270009,0.000118499976300005,8.70000261000078e-05,8.28e-05,7.21e-05,0,0,0,0,0.000235899929230021,6.5e-05,0,0,0,0,0,0,5.71e-05,0.000136599972680005,0,7.4199985160003e-05,4.15000083000017e-05,4.11999835200066e-05,0.00010639996808001,0.000122,0,0,0.000230499976950002,4.02e-05,0.0001271,0,0.00011129989983009,0.000137199972560005,0.00016179991910004,0,9.10999908900009e-05,0,0,0,0,0,0,0,0.000326600065320013,0.000225000045000009,0,0,0.000140400042120013,0,0
"k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcales_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_fusiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024230004846001,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_sphaericus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00764040152808031,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171450034290007,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_haemolysans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140699971860006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05999978800004e-05,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_sanguinis",0,0,0,0,0,8.60000086000009e-05,0,0,0,0,0,3.20999967900003e-05,0,0,0,0,1.69999983000002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218300043660009,0,0,0,0,0,1.55000062000025e-05,0,0,0.000218299956340009,0,0,6.75000202500061e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39999932000014e-06,0,0,7.7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38999972200006e-05,0,0,0,0,0,0,0,0,0,0,0,0.000138600055440022
